cell_id,min,max,std,z_range
abmabjbm-1,15.1210785,23.86958,1.4620375388560114,8.7485015
abmfgmeg-1,14.9083395,20.034533,0.9919590457110258,5.126193499999999
abmfnaak-1,14.35904,20.965797,1.4638548315457838,6.606756999999998
abmgapip-1,15.081989,24.364313,1.394187688876172,9.282324
abmhcedh-1,14.617099,18.4305,0.9624790422413998,3.813400999999999
abmkoffo-1,15.040118,24.019592,1.4152136383044882,8.979474
abmlknni-1,14.521961,18.374212,1.017068238362081,3.8522510000000008
abmnchjp-1,14.45213,20.471647,1.1706683844091794,6.0195170000000005
abndobok-1,14.630129,20.088413,1.4183779548934041,5.458283999999999
abnelbee-1,14.468439,20.686676,1.5546151422065642,6.2182369999999985
abnfclab-1,14.422647,22.405632,1.4147826183126375,7.982985000000001
abnhcbal-1,14.723017,23.16245,1.5000405179032836,8.439433
abnkmnda-1,14.750148,20.167032,1.3047927442328768,5.416884
aboapega-1,14.681371,21.244415,1.7115241394115108,6.563044
abobdmai-1,15.051549,20.07412,1.338558177094941,5.022571000000001
abodihpe-1,14.943863,19.823702,1.1104814984936724,4.8798390000000005
aboeaofm-1,14.582463,20.085539,1.3180872122959717,5.503076
abofdbao-1,14.833966,21.469732,1.087077709908807,6.635766
abojpmfd-1,14.250831,20.391777,1.421264018872602,6.140946000000001
abongjci-1,14.510341,20.879532,1.2621060587436546,6.369191000000001
abonojim-1,14.727405,21.013882,1.360721247773795,6.286477
abpafgke-1,15.187868,19.80518,1.1734469841694524,4.617312
abpdgfog-1,16.373358,20.890848,1.0322226931147394,4.517489999999999
abpdjppe-1,15.870987,20.000328,1.0152055695663003,4.129341
abpebfej-1,16.1187,21.735569,1.1882519855182048,5.616869000000001
abpececm-1,15.750387,20.72753,1.1993383562370428,4.977143000000002
abpekehi-1,16.112005,21.635263,1.3977793636213587,5.5232579999999984
abpkgcmi-1,15.955422,23.033892,1.0696019830503327,7.078470000000001
abpllfdf-1,15.58653,19.666706,0.8827339862735658,4.080176000000002
abpoebpf-1,16.627213,25.374403,1.874806812283403,8.74719
acahdpdn-1,15.51223,21.076385,1.8201439231526617,5.564154999999998
acahfjdb-1,16.437164,20.662989,1.1476080652426557,4.225825
acamjgdk-1,16.731514,20.991972,1.0180678436095223,4.260458
acbbeaid-1,16.711285,22.01589,1.2744391657715786,5.304604999999999
acbefgfl-1,16.668522,22.66237,1.3412561265334841,5.993848
acbgkknf-1,19.238289,28.355072,1.920743179516224,9.116782999999998
acbhlall-1,19.376392,25.722467,1.4132105099417218,6.346075000000003
acbkdkkm-1,19.560965,25.825176,1.7591120812866003,6.2642109999999995
acbkiffd-1,19.474094,25.493032,1.3473378849846858,6.018937999999999
acbmjeof-1,19.234266,28.339823,1.5762707907937292,9.105556999999997
acbnfgfo-1,19.589272,26.706327,1.7062804634348405,7.117055000000001
accaghlk-1,18.945328,23.831284,1.1989533422325398,4.885956
accdljja-1,19.53165,25.353273,1.3522473892968174,5.821623000000002
accegdlk-1,19.232977,24.967253,1.2468806022589962,5.734275999999998
accephbh-1,19.380274,26.63315,1.145595792640948,7.2528760000000005
accjdnef-1,19.34582,27.560892,1.2700556203721265,8.215072
accjfoam-1,18.95326,25.891977,1.1262329221836866,6.9387170000000005
accmalnb-1,20.129047,25.400051,1.171205347049681,5.271004000000001
accngbla-1,18.991407,24.242771,1.3121823340699805,5.251364000000002
accogjfl-1,19.988235,25.702978,1.262802633198127,5.714743000000002
accopohi-1,19.189367,25.086773,1.3579572624924106,5.897406
acdbkmle-1,18.6037,24.711515,1.2100527103979049,6.107814999999999
acddmkpf-1,19.926458,25.707708,1.337051818158779,5.78125
acdhacfn-1,19.69076,26.362888,1.6241637882193254,6.672128000000001
acdjomfm-1,19.500803,26.356401,1.3498267913918298,6.8555980000000005
acebgafp-1,19.694645,26.619762,1.7569560978540548,6.925117
acecfege-1,20.052921,25.273678,1.4436450401453214,5.220756999999999
aceeggph-1,19.75122,26.845957,1.5483902991451184,7.0947369999999985
aceganfo-1,19.026499,26.626562,1.757742140282358,7.600062999999999
acekncng-1,18.18194,27.117983,1.5470849601299597,8.936042999999998
acelacei-1,19.034279,31.461945,2.2024951506859707,12.427665999999999
aceloinp-1,18.350918,24.364529,1.2794201201233086,6.013611000000001
acenadea-1,19.058702,28.416624,1.8010111989539908,9.357921999999999
acfdeeak-1,18.25943,25.37703,1.6748920222447892,7.117600000000003
acfeihpk-1,18.607635,24.405046,1.218035020736878,5.797411
acfgadmg-1,19.086506,27.038637,1.4611197800940299,7.952131000000001
acgigdag-1,19.207508,24.76227,1.313676031206707,5.554762
acglldll-1,18.962933,23.402235,1.1437360568071593,4.439302000000001
acgmconb-1,18.257753,24.44398,1.348798597567472,6.186226999999999
acgohbjl-1,18.436068,24.387323,1.3832150221996689,5.951255
achbcdao-1,18.282028,28.058302,1.6322902492046207,9.776274
achlhbmc-1,18.142368,27.424364,1.2350988811521055,9.281996
aciaoggc-1,18.28737,25.236486,1.2234959221527606,6.949116
acicdpcn-1,18.496782,25.58499,1.5994905648952082,7.088208000000002
aciebpgn-1,19.16145,22.98302,0.9991037167926432,3.8215700000000012
aciehdcf-1,19.587559,25.004108,1.39627278353012,5.416549
acikfggj-1,19.19112,23.758724,1.1113413654737183,4.567603999999999
acjbmclj-1,19.568546,24.086056,1.044443687084041,4.517509999999998
acjcahjo-1,19.49979,23.391785,1.140188522572689,3.891994999999998
acjconnm-1,19.003626,24.296255,1.1959050224547254,5.292628999999998
acjelkfa-1,18.531685,22.863926,1.1314810086487208,4.332241
acjeommg-1,18.057264,25.18943,1.4566893685346671,7.132166000000002
acjfibmh-1,19.43166,25.506033,1.4170843702799638,6.074372999999998
acjjcbhn-1,19.23958,23.337788,1.1209154318179435,4.098208
acjjdaon-1,19.277964,27.08017,1.2472756229419932,7.802205999999998
acjlkgdp-1,18.51476,22.85017,1.0560598819038862,4.3354099999999995
acjmcofj-1,17.33522,24.67921,1.3112013941601377,7.343990000000002
acjmjphg-1,18.456585,22.92839,1.253162512464065,4.471805
acjnkdno-1,19.366985,25.218012,1.489024685337368,5.851027000000002
acjofeam-1,19.028551,24.689539,1.3476623748209822,5.660988
ackbfgdf-1,18.393072,23.08863,1.1491075271149402,4.695557999999998
ackbgljj-1,19.103197,24.78438,1.1505263527732308,5.681182999999997
ackgmnmd-1,18.771036,23.992517,1.1982241681331212,5.221481000000001
ackkoiol-1,18.902863,23.219357,1.0682511686655054,4.316493999999999
acklnofm-1,18.438524,22.897,1.102602319401694,4.458475999999997
ackmbfii-1,18.769556,25.417492,1.8594304058650364,6.647935999999998
ackpjglb-1,18.829378,24.145298,1.4297516747069323,5.315920000000002
aclcinbg-1,19.217503,25.16384,1.0797470718127875,5.946337
aclckdod-1,19.00985,25.833544,1.6955395050475308,6.823694
acldlidn-1,18.796152,24.389454,1.1469635124845956,5.593302000000001
aclfkjnm-1,19.63249,28.382881,1.4749105954696173,8.750391
aclicpfa-1,17.709902,24.26551,1.3493732997632142,6.555607999999999
aclmeljn-1,18.676104,26.541517,1.52499280429718,7.865413
aclnnppa-1,19.8038,24.791594,1.2792626468011203,4.987794000000001
acmbibcg-1,18.96536,24.65242,1.2682423501396147,5.687059999999999
acmcjcjf-1,19.127594,23.547995,1.1278967059246214,4.420401000000002
acmdggki-1,19.69753,25.52111,1.4146613301717,5.82358
acmeelfa-1,19.001818,29.776834,1.484118794206299,10.775016
acmgjene-1,19.337435,26.90835,1.7119665876108932,7.570914999999999
acmhapjd-1,19.128658,31.02439,2.041019680237247,11.895731999999999
acmjooaf-1,19.553997,27.591576,1.7787689842263656,8.037579000000001
acmobngj-1,19.398884,26.510859,1.437478213336317,7.111975000000001
acmpoklf-1,18.795805,25.692997,1.7214718428358795,6.897191999999997
acnbjgik-1,19.475826,26.491621,1.8360120531052546,7.015794999999997
acnbkjck-1,19.900734,27.835531,1.4282728011581816,7.934797
